event_type,holding_days,trade_count,win_rate,avg_return,median_return,max_loss,max_win
down_shock,1,21,1.0,0.25547829072792827,0.1992943085988498,3335.600000000005,28002.200000000004
down_shock,3,57,1.0,0.41345768308750724,0.27073123437803,1298.599999999999,58378.8
down_shock,5,69,1.0,0.4754013267423011,0.2088747636480671,889.8000000000025,63935.3
gap_event,1,23,0.34782608695652173,0.07691225231350406,-0.0786967342708656,-44957.59999999999,41141.30000000001
gap_event,3,23,0.34782608695652173,0.1388788386980227,-0.1477982129936562,-84279.99999999999,102295.7
gap_event,5,23,0.30434782608695654,-0.04125036711180563,-0.1544952800821146,-97513.49999999996,49321.9
noise_theta_decay,1,348,0.2471264367816092,-0.03736179950200538,-0.04311094271577435,-87463.19999999998,11195.500000000002
noise_theta_decay,3,278,0.14388489208633093,-0.11362324404461618,-0.1084395729684908,-90149.69999999998,4906.999999999999
noise_theta_decay,5,206,0.07281553398058252,-0.20303794302199446,-0.19568779006687215,-18783.4,5868.600000000004
trend_vol_expansion,1,71,0.30985915492957744,-0.024700437460041243,-0.0298927713608693,-13537.199999999995,5452.100000000008
trend_vol_expansion,3,85,0.27058823529411763,-0.06489919757666666,-0.0515540446367428,-19167.29999999999,4543.700000000013
trend_vol_expansion,5,124,0.16129032258064516,-0.11709071749256125,-0.1071214787247525,-74627.69999999998,2243.500000000006
up_shock,1,7,1.0,0.23246464820993232,0.1846552553219036,1739.6999999999991,13359.400000000016
up_shock,3,27,1.0,0.5456965670426492,0.2555205047318614,2113.100000000003,96999.4
up_shock,5,48,1.0,0.7304373909235832,0.2947295779168675,1898.9000000000035,139300.69999999998
